상품명,키워드
달빛유자 수면팩 70ml,"수분, 건성, 트러블, 보습, 각질, 촉촉, 쫀쫀, 잡티, 주름, 진정, 지성, 탄력, 모공, 기미, 여드름, 예민, 산뜻"
테라크네365 하이드로 액티브 토너 200ml,"여드름, 트러블, 진정, 피지, 지성, 각질"
오가니언스 베리어 리페어 카밍 에센스 토너 160ml,"보습, 수분, 건성, 트러블, 각질, 진정, 지성, 모공, 촉촉, 여드름, 예민, 탄력"
프레쉬 모이스춰 립앤아이 리무버 300ml,"트러블, 주름, 촉촉, 수분, 보습, 여드름"
래디언스 리설페이싱 필 12매,"각질, 트러블, 건성, 보습, 수분, 모공, 진정, 피지, 여드름, 탄력, 예민, 쫀쫀, 촉촉, 지성, 주름"
프로바이오틱스 세라마이드 에멀전 150ml,"보습, 건성, 트러블, 수분, 주름, 진정, 지성, 탄력, 촉촉, 산뜻, 각질"
극진 2종 기획 세트,"건성, 보습, 주름, 탄력, 수분, 쫀쫀, 진정, 트러블, 기미, 잡티"
테라크네365 수딩 액티브 모이스처라이저 60ml,"여드름, 트러블, 수분, 보습, 진정, 지성, 주름"
자음생세럼 브라이트닝 단품세트 50ml,"기미, 탄력, 잡티, 수분, 트러블, 주름, 보습, 건성, 모공, 진정, 지성, 여드름, 촉촉, 산뜻, 피지"
로즈+PHA 리퀴드 마스크 80ml,"각질, 수분, 트러블, 모공, 보습, 건성, 피지, 진정, 여드름, 쫀쫀, 지성, 예민, 촉촉, 탄력, 주름, 기미"
"""탄력개선 독자기술"" 뉴트리티브 퍼밍 에센스 50ml  50ml","주름, 탄력, 수분, 보습, 건성, 트러블, 쫀쫀, 모공, 진정, 지성"
슈퍼바이탈 소프너 150ml,"보습, 건성, 수분, 탄력, 주름, 트러블, 쫀쫀, 각질, 촉촉"
프로바이오틱스 세라마이드 스킨소프너 200ml,"보습, 건성, 수분, 트러블, 촉촉, 주름, 진정, 지성, 각질, 쫀쫀, 탄력, 예민"
맨 파워 2X 올인원 120ml,"트러블, 보습, 주름, 수분, 진정, 피지, 쫀쫀, 촉촉, 산뜻, 각질, 지성, 모공"
부들밤 말끔피지 모공팩 100ml,"모공, 피지, 각질, 트러블, 진정, 건성, 보습, 촉촉, 지성, 주름, 수분"
"""탄력집중케어"" 뉴트리티브 퍼밍 크림 65ml","탄력, 주름, 쫀쫀, 수분, 모공, 보습, 건성, 트러블, 지성, 진정, 기미, 촉촉"
트리트먼트 엔자임 필 클렌징 파우더 55g,"각질, 트러블, 모공, 건성, 피지, 수분, 여드름, 지성, 보습, 진정, 쫀쫀, 촉촉, 예민, 탄력"
아토베리어365 크림 더블기획세트,"보습, 건성, 트러블, 수분, 지성, 각질, 진정, 여드름, 촉촉, 피지"
여윤팩 120ml,"수분, 탄력, 트러블, 건성, 각질, 보습, 진정, 촉촉"
리피드 밸런스 아미노 폼 120g,"트러블, 건성, 수분, 보습, 지성, 여드름, 피지, 쫀쫀, 예민"
스템Ⅲ 크림 50ml,"수분, 건성, 보습, 탄력, 트러블, 주름, 진정, 쫀쫀, 각질, 지성, 촉촉, 여드름, 잡티"
세라마이드 더마 속보습 스킨 180ml,"보습, 트러블, 수분, 건성, 진정, 여드름, 쫀쫀, 지성, 각질, 촉촉, 피지, 주름"
아토베리어 365 하이드로 에센스 150ml,"수분, 트러블, 보습, 여드름, 진정, 건성, 지성, 촉촉, 기미"
청보리 고마쥬 필링 마스크 120ml,"각질, 트러블, 진정, 수분, 건성, 피지, 보습, 촉촉, 주름, 모공, 여드름, 탄력, 지성"
리얼아트 클렌징 오일 모이스처 185ml,"피지, 트러블, 각질, 지성, 모공, 건성, 여드름, 수분, 보습, 촉촉"
마이크로미셀라 솝베리 모이스춰 클렌징 폼 150g,"트러블, 수분, 건성, 피지, 쫀쫀, 보습, 지성, 모공, 여드름, 각질"
시카 슬리핑 마스크 60ml,"진정, 트러블, 건성, 여드름, 수분, 보습, 각질, 지성, 피지, 쫀쫀, 잡티, 촉촉, 모공, 탄력, 기미"
릴렉싱 딥 클렌징 오일,"트러블, 피지, 건성, 각질, 진정, 모공, 지성, 수분, 보습, 촉촉, 여드름, 탄력, 주름"
베이킹 파우더 B.B 딥 클렌징폼 160g,"각질, 트러블, 피지, 지성, 수분, 보습, 모공, 촉촉, 건성"
링클 사이언스 스팟 트리트먼트 40ml,"주름, 쫀쫀, 보습, 탄력, 수분, 트러블, 건성, 피지"
오가니언스 베리어 리페어 하이드레이션 크림 에멀젼 160ml,"수분, 건성, 트러블, 여드름"
블랙티 유스 인핸싱 크림 50ml,"보습, 수분, 트러블, 건성, 쫀쫀, 주름, 진정, 지성, 탄력, 각질, 모공, 촉촉, 예민"
어린쑥 수분진정크림 비누 100g,"진정, 수분, 트러블, 쫀쫀, 보습, 각질, 촉촉, 건성, 피지, 탄력, 여드름, 모공, 지성"
어린쑥 수분진정 플루이드 125ml,"수분, 진정, 트러블, 건성, 보습, 여드름, 지성, 각질"
맨 컴파운드 선 스크린 SPF 50+/PA++++ 50ml,"트러블, 각질, 수분, 건성, 피지, 촉촉, 산뜻, 지성, 보습, 주름"
히알루론 수분 선크림 SPF50+/PA++++ 50m,"수분, 트러블, 건성, 각질, 보습, 예민, 지성"
블랙티 유스 인핸싱 앰플 대용량 단품 세트,"보습, 수분, 주름, 건성, 탄력, 트러블, 쫀쫀, 각질, 모공, 여드름, 촉촉, 진정, 지성"
리피드 밸런스 클렌징 워터 250ml,"트러블, 수분, 보습, 예민, 모공, 각질, 촉촉, 여드름, 건성, 주름"
캐모마일 퓨어 토너 250ml,"트러블, 진정, 수분, 보습, 건성, 각질, 지성, 여드름, 모공, 예민"
래디언씨 비타민 스팟 앰플 10g,"잡티, 기미, 트러블, 진정, 탄력"
UV 쉴드 아웃도어 선 패치 4매입,"기미, 잡티, 트러블, 진정, 지성, 쫀쫀, 수분, 여드름, 주름, 건성, 보습"
센텔라 트러블 토너 250ml,"트러블, 진정, 여드름, 각질, 피지, 수분, 건성, 지성, 보습, 모공, 예민, 촉촉"
비자 트러블 로션 100ml,"트러블, 여드름, 수분, 보습, 건성, 지성, 진정, 피지, 모공"
립 앤 아이 리무버 100ml,트러블
알파인베리 워터리 수딩젤 크림 50ml,"수분, 트러블, 보습, 지성, 진정, 여드름, 건성, 촉촉, 피지, 모공, 각질"
하이드로 리플렉팅 플루이드 140ml,"수분, 건성, 보습"
퍼펙트리뉴 3X 시그니쳐 세럼 40ml,"탄력, 주름, 보습, 수분, 쫀쫀, 트러블, 건성, 촉촉, 지성, 모공, 진정, 기미, 여드름, 각질"
포어 클리어 마스터 80ml,"모공, 각질, 피지, 진정, 트러블, 수분, 여드름, 건성, 보습, 지성, 탄력, 쫀쫀, 주름, 촉촉"
세라마이드 더마 약산성 클렌징폼 120g,"트러블, 여드름, 수분, 각질, 보습, 건성, 지성, 진정, 모공, 촉촉, 피지, 쫀쫀, 예민"
극진 스킨 125ml,"건성, 보습, 트러블, 쫀쫀, 수분, 촉촉"
왕벚꽃 글로우 스킨핏 톤업크림 50ml,"잡티, 모공, 건성, 각질"
워터뱅크 블루 히알루로닉 아이 크림 25ml,"수분, 주름, 보습, 쫀쫀, 트러블, 탄력, 지성, 촉촉, 피지, 건성, 잡티, 여드름"
세라마이드 더마 페이셜 크림 50ml,"보습, 트러블, 수분, 건성, 지성, 진정, 여드름, 피지, 각질, 쫀쫀, 촉촉, 잡티"
래디언씨 선크림 SPF50+/PA++++ 50ml,"잡티, 건성, 기미, 수분, 트러블, 지성, 주름"
티트리 아크네 클렌징폼 150g,"여드름, 트러블, 각질, 진정, 피지, 지성, 모공, 쫀쫀, 건성, 수분, 예민"
알파인 베리 워터리 크림 50ml,"수분, 트러블, 건성, 보습, 진정, 여드름, 지성, 촉촉, 예민, 각질, 탄력, 모공, 쫀쫀"
백화고 기미단 크림 60ml,"기미, 잡티, 주름, 탄력, 보습, 건성, 수분, 쫀쫀, 지성, 촉촉"
